step,population,nonrenewableResourceFractionRemaining,serviceOutput,foodPerCapita,industrialOutputPerCapita,indexOfPersistentPollution,lifeExpectancy,crudeBirthRate,crudeDeathRate,arableLand,landYield
1920.0,0.1252844278854651,0.9919742797543945,0.29112621608990324,0.13015187188737765,0.02148475672434056,0.006123727799214977,0.4059702623464722,0.8070515303039649,0.5959313284635885,0.3337704953381329,0.3083666411477699
1921.0,0.12661692092757856,0.991419875658935,0.292652040169409,0.1330025345315056,0.022079729943724834,0.006242032524430006,0.4065334992250896,0.8064998921914116,0.5960235937074798,0.33559364641687883,0.31157779386078355
1922.0,0.12796041283227572,0.9908473030314049,0.29422728726205916,0.13592944872613894,0.02269507450794176,0.006371944910666919,0.4071327431776023,0.8059778017423507,0.5959922484043595,0.3374215951504176,0.31486372550170383
1923.0,0.12931589482552813,0.9902559210266528,0.2958529738574387,0.1389342696266603,0.023331330941835204,0.006513478381362305,0.4077686283997434,0.8054790847039196,0.5958402007784391,0.33925705636427217,0.3182261632332087
1924.0,0.1306843401132548,0.9896450631070969,0.29753001944888824,0.14201862109283458,0.023989104458066828,0.0066666145186958245,0.40844178395055597,0.8049980085885271,0.5955704235327001,0.34110261092000216,0.32166678618908223
1925.0,0.13206670603749548,0.9890140363745323,0.29925928534999857,0.14518410624883465,0.024669059227130145,0.006831312931571918,0.40915285039307436,0.8045293801982376,0.5951857892634831,0.34296073052715387,0.3251872494437015
1926.0,0.13346393692038475,0.9883621208273687,0.3010415891383103,0.1484323154751751,0.02537191383442092,0.007007520813485538,0.4099024876034485,0.80406856479677,0.5946890252552803,0.3448337988637063,0.32878918719664385
1927.0,0.13487696710473437,0.9876885685469249,0.3028777135343042,0.15176483215335806,0.026098437752265443,0.007195181596026774,0.410691380068909,0.8036114491237503,0.5940826889978813,0.34672412971197897,0.33247421308557207
1928.0,0.13630672395836113,0.9869926028176088,0.3047684122326566,0.1551832366612315,0.02684944866610987,0.007394242450120621,0.41152024073278826,0.8031543793604158,0.5933691520280503,0.34863398268989154,0.3362439191372891
1929.0,0.13775413073849158,0.9862734171851222,0.30671441351847095,0.15868910898837496,0.027625810516943395,0.00760466057979628,0.41238981382061757,0.802694092255635,0.5925505891358385,0.35056557703633073,0.3400998735298567
1930.0,0.13922010928104667,0.9855301744560659,0.3087164222026636,0.16228403023464696,0.02842843214334699,0.007826408356806711,0.4133008769266603,0.8022276486487641,0.5916289714712157,0.3525211038148326,0.3440436172897531
1931.0,0.14070558251460438,0.9847620056416555,0.3107751202697978,0.16596958318273825,0.029258266425149945,0.00805947739693658,0.4142542425577657,0.8017523735094915,0.5906060626083522,0.35450273682708583,0.3480766600599505
1932.0,0.14221147681510293,0.9839680088476868,0.3128911665333476,0.16974735208644084,0.030116309846618883,0.008303881702010124,0.41525075927641675,0.8012658038506519,0.5894834169120184,0.3565126424715421,0.35220047506781516
1933.0,0.1437387242233467,0.9831472481124142,0.315065195520347,0.17361892178223848,0.031003602410649225,0.008559659997866523,0.4162913125464457,0.8007656444526652,0.588262379727613,0.35855298873857167,0.3564164934030748
1934.0,0.1452882645479863,0.9822987521936019,0.31729781575239313,0.17758587620761018,0.031921227846859926,0.008826877395178503,0.41737682535751697,0.8002497306745032,0.5869440890302217,0.3606259534991195,0.3607260976934527
